"Trat","Virus","T6","T12","T18","Grup"
"P",1,1.48,2.81,3.56,1
"P",0,1.04,2.07,2.81,2
"P",1,1.48,2.52,3.41,1
"P",0,1.04,1.93,2.89,2
"P",1,1.8,2.15,3.2,1
"P",0,1.5,2.7,3.75,2
"P",1,1.65,2.85,3.75,1
"P",0,1.35,2.4,3.3,2
"P",1,1.49,2.54,3.58,1
"P",0,1.19,2.24,3.84,2
"P",1,1.49,2.61,3.88,1
"P",0,1.49,2.54,3.58,2
"P",1,1.94,2.29,3.49,1
"P",0,1.5,2.69,3.89,2
"P",1,1.64,2.14,3.18,1
"P",0,1.35,2.39,3.29,2
"P",1,1.5,2,3.9,1
"P",0,1.35,2.7,3.45,2
"P",1,1.65,2.3,3.35,1
"P",0,1.2,2.55,3.6,2
"P",1,1.5,2.85,3.12,1
"P",0,1.65,2.7,3.4,2
"P",1,1.8,2.15,3.9,1
"P",0,1.2,2.25,3.3,2
"V",1,1.78,2.96,4,3
"V",0,1.48,2.81,3.85,4
"V",1,1.33,2.52,3.84,3
"V",0,1.03,2.07,2.96,4
"V",1,1.65,3,3.98,3
"V",0,1.5,2.85,3.75,4
"V",1,1.5,2.85,3.9,3
"V",0,1.5,2.55,3.6,4
"V",1,1.49,2.99,3.88,3
"V",0,1.34,2.54,3.44,4
"V",1,1.64,2.69,3.73,3
"V",0,1.19,2.39,3.29,4
"V",1,1.94,3.44,4.41,3
"V",0,1.5,2.84,4.04,4
"V",1,1.79,2.99,4.19,3
"V",0,1.64,2.69,3.89,4
"V",1,1.95,2.3,4.5,3
"V",0,1.8,2.3,4.2,4
"V",1,1.8,2.3,4.2,3
"V",0,1.35,2.4,3.6,4
"V",1,1.65,3,4.05,3
"V",0,1.2,2.7,3.9,4
"V",1,1.35,2.55,3.67,3
"V",0,1.2,2.7,3.6,4
